[2025-09-21 16:55:31.409] [INFO ] [T021] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:31.412] [INFO ] [T017] [FileSyncService] 检测到文件变化，等待写入完成: C1720.MP4
[2025-09-21 16:55:31.412] [INFO ] [T021] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1720.MP4
[2025-09-21 16:55:32.320] [INFO ] [T017] [FileSyncService] 文件写入已完成，准备同步: C1718.MP4
[2025-09-21 16:55:32.320] [INFO ] [T004] [FileSyncService] 获取FastCopy并发许可，开始复制: C1718.MP4
[2025-09-21 16:55:33.019] [INFO ] [T010] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1720.MP4
[2025-09-21 16:55:33.026] [INFO ] [T021] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:33.029] [INFO ] [T007] [FileSyncService] 检测到文件变化，等待写入完成: C1721.MP4
[2025-09-21 16:55:33.029] [INFO ] [T010] [FileSyncService] 检测到文件变化，等待写入完成: C1721.MP4
[2025-09-21 16:55:33.675] [INFO ] [T007] [FileSyncService] 释放FastCopy并发许可: C1717.MP4
[2025-09-21 16:55:33.675] [INFO ] [T007] [FileSyncService] 文件处理完成，清理锁: C1717.MP4
[2025-09-21 16:55:34.632] [INFO ] [T010] [FileSyncService] 文件写入已完成，准备同步: C1719.MP4
[2025-09-21 16:55:34.632] [INFO ] [T020] [FileSyncService] 文件写入已完成，准备同步: C1719.MP4
[2025-09-21 16:55:34.632] [INFO ] [T020] [FileSyncService] 获取FastCopy并发许可，开始复制: C1719.MP4
[2025-09-21 16:55:34.632] [INFO ] [T004] [FileSyncService] 获取FastCopy并发许可，开始复制: C1719.MP4
[2025-09-21 16:55:34.683] [INFO ] [T004] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1721.MP4
[2025-09-21 16:55:34.690] [INFO ] [T020] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:34.692] [INFO ] [T022] [FileSyncService] 检测到文件变化，等待写入完成: C1724.MP4
[2025-09-21 16:55:34.692] [INFO ] [T006] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1724.MP4
